PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",0,1754998155456,1754998155527,Backspace,8, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",1,1754998161808,1754998161888,r,82, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",2,1754998162056,1754998162120,i,73, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",3,1754998162272,1754998162328,v,86, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",4,1754998162504,1754998162576,e,69, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",5,1754998162688,1754998162752,r,82, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",6,1754998166817,1754998166873,Backspace,8, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",7,1754998170401,1754998170473,Backspace,8, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",8,1754998170937,1754998171025,Backspace,8, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",9,1754998174562,1754998174649,Backspace,8, Monthly
5f72473314afc916af99e341,image-to-prompt,1,2,5,"A forest river surrounded by pine trees and greenery, with ducks swimming in the clear water. The scene is bright and serene under a partly cloudy sky.","[133,151];[2,14];[29,52];[59,73]","[107,124]",10,1754998175626,1754998175690,Backspace,8, Monthly